round	multi-class_among_viremic_tx_n	multi-class_among_viremic_tx_obs	multi-class_among_viremic_tx_Prev. % (95% CI)	multi-class_among_viremic_tx_Prev. ratio (95% CI)	multi-class_among_viremic_tx_p-value	multi-class_among_viremic_tx_spacer	single-class_among_viremic_tx_n	single-class_among_viremic_tx_obs	single-class_among_viremic_tx_Prev. % (95% CI)	single-class_among_viremic_tx_Prev. ratio (95% CI)	single-class_among_viremic_tx_p-value	single-class_among_viremic_tx_spacer	round_min_date	round_mid_date	round_max_date
16			41.5 (31.2, 55.3)			 			2.3 (0.4, 14.3)			 	2013-07-08T00:00:00Z	2014-04-07T00:00:00Z	2015-01-28T00:00:00Z
17			38.4 (33, 44.8)			 			8.5 (5.3, 13.4)			 	2015-02-23T00:00:00Z	2015-11-03T00:00:00Z	2016-09-02T00:00:00Z
18			33.5 (28.4, 39.4)			 			10.3 (7, 15.3)			 	2016-10-03T00:00:00Z	2017-07-17T00:00:00Z	2018-05-21T00:00:00Z
19			25.5 (19.7, 33.1)			 			17.9 (12.1, 26.3)			 	2018-06-19T00:00:00Z	2019-06-20T00:00:00Z	2020-11-04T00:00:00Z
20			9.7 (6.1, 15.5)			 			12.9 (7.5, 21.9)			 	2021-02-01T00:00:00Z	2022-03-04T00:00:00Z	2023-03-07T00:00:00Z
16	 57	23 (40.4%)		ref	ref	 	 57	 1 (1.8%)		ref	ref	 			
17	172	72 (41.9%)		0.92 (0.7, 1.22)	0.58	 	172	15 (8.7%)		3.69 (0.57, 23.71)	0.17	 			
18	205	72 (35.1%)		0.81 (0.59, 1.1)	0.17	 	205	21 (10.2%)		4.51 (0.7, 29.26)	0.11	 			
19	112	28 (25%)		0.61 (0.42, 0.9)	0.013	 	112	20 (17.9%)		7.8 (1.2, 50.68)	0.031	 			
20	 84	 5 (6%)		0.23 (0.14, 0.4)	<0.0001	 	 84	11 (13.1%)		5.62 (0.83, 37.8)	0.076	 			
