label	var	n	obs	rr	P	rr_adj	P_adj
age_cat							
age_cat	(14,24]	98	50 (51%)	ref	ref	ref	ref
age_cat	(24,34]	296	128 (43.2%)	0.81 (0.62, 1.06)	0.12	0.83 (0.64, 1.08)	0.17
age_cat	(34,49]	254	108 (42.5%)	0.8 (0.6, 1.06)	0.13	0.81 (0.61, 1.08)	0.15
comm_cat							
comm_cat	fishing	353	147 (41.6%)	ref	ref	ref	ref
comm_cat	inland	295	139 (47.1%)	1.22 (0.98, 1.51)	0.07	1.23 (1, 1.51)	0.053
sex							
sex	F	346	177 (51.2%)	ref	ref	ref	ref
sex	M	302	109 (36.1%)	0.65 (0.52, 0.82)	0.0002	0.65 (0.53, 0.81)	0.0001
subtype_bestref_cat							
subtype_bestref_cat	A1	180	81 (45%)	ref	ref	ref	ref
subtype_bestref_cat	C	23	6 (26.1%)	0.67 (0.36, 1.25)	0.2	0.67 (0.36, 1.24)	0.2
subtype_bestref_cat	D	358	160 (44.7%)	0.9 (0.71, 1.12)	0.34	0.88 (0.7, 1.1)	0.26
subtype_bestref_cat	other	87	39 (44.8%)	1.11 (0.82, 1.5)	0.49	1.06 (0.8, 1.41)	0.67
