var	v	n	!(is.na(sequence_id))	!(is.na(insti)) | !(is.na(nnrti)) | !(is.na(nrti)) | !(is.na(pi))	!(is.na(insti))	!(is.na(nnrti))	!(is.na(nrti))	!(is.na(pi))	!(is.na(insti)) & !(is.na(nnrti)) & !(is.na(nrti)) & !(is.na(pi))
overall		4,981	4,924 (98.9%)	3,918 (79.6%)	2,766 (56.2%)	3,206 (65.1%)	3,176 (64.5%)	3,744 (76%)	2,461 (50%)
round		   NA							
round	15	2,015	1,993 (98.9%)	1,420 (71.2%)	  516 (25.9%)	  979 (49.1%)	1,017 (51%)	1,387 (69.6%)	  482 (24.2%)
round	16	1,249	1,228 (98.3%)	  856 (69.7%)	  636 (51.8%)	  668 (54.4%)	  659 (53.7%)	  774 (63%)	  502 (40.9%)
round	17	  789	  784 (99.4%)	  757 (96.6%)	  737 (94%)	  719 (91.7%)	  687 (87.6%)	  722 (92.1%)	  667 (85.1%)
round	18	  487	  481 (98.8%)	  470 (97.7%)	  465 (96.7%)	  459 (95.4%)	  450 (93.6%)	  465 (96.7%)	  450 (93.6%)
round	19	  280	  279 (99.6%)	  264 (94.6%)	  262 (93.9%)	  238 (85.3%)	  227 (81.4%)	  253 (90.7%)	  227 (81.4%)
round	20	  161	  159 (98.8%)	  151 (95%)	  150 (94.3%)	  143 (89.9%)	  136 (85.5%)	  143 (89.9%)	  133 (83.6%)
sequenced		   57	   NA (NA%)						
sequenced	PANGEA1	2,571	2,571 (100%)	1,792 (69.7%)	  666 (25.9%)	1,276 (49.6%)	1,332 (51.8%)	1,759 (68.4%)	  638 (24.8%)
sequenced	PANGEA2	2,353	2,353 (100%)	2,126 (90.4%)	2,100 (89.2%)	1,930 (82%)	1,844 (78.4%)	1,985 (84.4%)	1,823 (77.5%)
subtype_bestref_cat		   64	    7 (10.9%)						
subtype_bestref_cat	A1	1,356	1,356 (100%)	1,200 (88.5%)	  851 (62.8%)	1,010 (74.5%)	1,004 (74%)	1,140 (84.1%)	  758 (55.9%)
subtype_bestref_cat	C	  149	  149 (100%)	  122 (81.9%)	   93 (62.4%)	  103 (69.1%)	  104 (69.8%)	  117 (78.5%)	   85 (57%)
subtype_bestref_cat	D	1,908	1,908 (100%)	1,623 (85.1%)	1,338 (70.1%)	1,439 (75.4%)	1,400 (73.4%)	1,550 (81.2%)	1,189 (62.3%)
subtype_bestref_cat	other	1,504	1,504 (100%)	  973 (64.7%)	  484 (32.2%)	  654 (43.5%)	  668 (44.4%)	  937 (62.3%)	  429 (28.5%)
subtype_bestref_cat		   64	    7 (10.9%)	   NA (NA%)	   NA (NA%)	   NA (NA%)	   NA (NA%)	   NA (NA%)	   NA (NA%)
vl_copies_cat		  792	  782 (98.7%)						
vl_copies_cat	(3,4]	1,677	1,653 (98.6%)	1,076 (65.1%)	  711 (43%)	  774 (46.8%)	  739 (44.7%)	  980 (59.3%)	  551 (33.3%)
vl_copies_cat	(4,5]	1,971	1,952 (99%)	1,753 (89.8%)	1,351 (69.2%)	1,513 (77.5%)	1,505 (77.1%)	1,696 (86.9%)	1,227 (62.9%)
vl_copies_cat	(5, Inf]	  541	  537 (99.3%)	  525 (97.8%)	  469 (87.3%)	  502 (93.5%)	  503 (93.7%)	  520 (96.8%)	  460 (85.7%)
vl_copies_cat		  792	  782 (98.7%)	  564 (72.1%)	  235 (30.1%)	  417 (53.3%)	  429 (54.9%)	  548 (70.1%)	  223 (28.5%)
